scenario,set_name,vaccine,gavi_support,activity_type,country_code,country,year,age_first,age_last,age_range_verbatim,target,coverage,gender,proportion_risk
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COG,Congo,2037,1,100,default age groups,8008622,0.1835913315116632915647,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COG,Congo,2040,1,100,default age groups,8495826,0.1835913315116632915647,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,DZA,Algeria,2025,1,100,default age groups,46076155.5,0.0849999999999999922284,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,DZA,Algeria,2028,1,100,default age groups,47911402,0.0849999999999999922284,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,DZA,Algeria,2031,1,100,default age groups,49550361,0.0849999999999999922284,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,DZA,Algeria,2034,1,100,default age groups,51079481.5,0.0849999999999999922284,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,DZA,Algeria,2037,1,100,default age groups,52580505,0.0849999999999999922284,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,DZA,Algeria,2040,1,100,default age groups,54093271.5,0.0849999999999999922284,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,ETH,Ethiopia,2021,1,100,default age groups,116529023.5,0.0084957375447327933282,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,ETH,Ethiopia,2025,1,100,default age groups,129041076.5,0.0829258595147116805979,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,ETH,Ethiopia,2028,1,100,default age groups,138725487.5,0.0829258595147116805979,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,ETH,Ethiopia,2031,1,100,default age groups,148540248.5,0.0829258595147116805979,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,ETH,Ethiopia,2034,1,100,default age groups,158358230.5,0.0829258595147116805979,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,ETH,Ethiopia,2037,1,100,default age groups,168132811,0.0829258595147116944757,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,ETH,Ethiopia,2040,1,100,default age groups,177868196,0.0829258595147116805979,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GHA,Ghana,2025,1,100,default age groups,34550181,0.3430299282676884109478,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GHA,Ghana,2028,1,100,default age groups,36526098,0.3430299282676884109478,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GHA,Ghana,2031,1,100,default age groups,38518360.5,0.3430299282676884109478,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GHA,Ghana,2034,1,100,default age groups,40522592.5,0.3430299282676884109478,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GHA,Ghana,2037,1,100,default age groups,42549910,0.3430299282676884664589,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GHA,Ghana,2040,1,100,default age groups,44595836,0.3430299282676883554366,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GIN,Guinea,2012,1,100,default age groups,10399335.5,0.0008494773536251426895,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GIN,Guinea,2025,1,100,default age groups,14416784,0.2245146703311592106811,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GIN,Guinea,2028,1,100,default age groups,15451837,0.2245146703311592384367,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GIN,Guinea,2031,1,100,default age groups,16500097.5,0.2245146703311591829255,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GIN,Guinea,2034,1,100,default age groups,17559336,0.2245146703311592106811,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GIN,Guinea,2037,1,100,default age groups,18625150.5,0.2245146703311592384367,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GIN,Guinea,2040,1,100,default age groups,19686391.5,0.2245146703311592106811,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GNB,Guinea-Bissau,2025,1,100,default age groups,2181296.5,0.3805308112868508452209,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GNB,Guinea-Bissau,2028,1,100,default age groups,2322969,0.3805308112868508452209,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GNB,Guinea-Bissau,2031,1,100,default age groups,2467201.5,0.3805308112868508452209,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GNB,Guinea-Bissau,2034,1,100,default age groups,2613153.5,0.3805308112868508452209,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GNB,Guinea-Bissau,2037,1,100,default age groups,2760125.5,0.3805308112868507897097,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GNB,Guinea-Bissau,2040,1,100,default age groups,2906536.5,0.3805308112868508452209,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,HTI,Haiti,2013,1,100,default age groups,10004894.5,0.000013093591341717797,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,HTI,Haiti,2025,1,100,default age groups,11753010,0.5100000000000000088818,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,HTI,Haiti,2028,1,100,default age groups,12174444.5,0.5100000000000000088818,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,HTI,Haiti,2031,1,100,default age groups,12582019.5,0.5100000000000000088818,both,1
